ID,Nosaukums,Latitude,Longitude
246,Tīreļu ūdenskrātuve,56.8515,23.8129722
247,Griķu dīķis,56.6853889,23.8533333
248,Božu ūdenskrātuve,56.9095,23.8785833
249,Svitenes ūdenskrātuve,56.3690833,23.921
250,Beberbeķu dzirnavezers,56.9304444,23.9231944
251,Rundāles dzirnavu ezers,56.4214722,24.0165833
252,Ziemas osta,57.0548889,24.0303889
253,Bolderājas karjers,57.01225,24.0337222
254,Stūnīšu ezers,56.8633333,24.0545833
255,Māras dīķis,56.9304444,24.0796389
256,Vecdaugava,57.0592222,24.0898611
257,Tīturgas ezers,56.8737222,24.1341944
258,Ķīšezers,57.0229167,24.1751389
259,Bābelītis,56.9905833,24.2181111
260,Vidusezers,57.0338611,24.2313333
261,Lielais Jūgezers,57.0532778,24.2400278
262,Dambjapurva ezers,56.9769722,24.2401111
263,Velnezers,56.9764722,24.2466667
264,Laveru ezers,57.1166111,24.2671111
265,Ataru ezers,57.0647222,24.2690556
266,Juglas ezers,56.9796389,24.2796667
267,Ulbrokas ezers,56.9375278,24.2870833
268,Lielais Baltezers,57.0285,24.2948889
269,Dienvidu Garezers,57.1609444,24.2955
270,Vidējais Garezers,57.1715833,24.3118056
271,Dzirnezers,57.13925,24.3121667
272,Mašēnu ezers,56.9765,24.3198889
273,Mazais Baltezers,57.0468056,24.3282778
274,Ummis,57.1678889,24.3312222
275,Langstiņu ezers,57.0116944,24.3387778
276,Sudrabezers,57.0283611,24.3455556
277,Sauriešu karjera ūdenskrātuves,56.9076944,24.3468889
278,Vējupe,57.0716944,24.3515556
279,Sekšu ezers,57.0363333,24.3522222
280,Kadagas ezers,57.1164722,24.3545833
281,Lilastes ezers ,57.1806389,24.3558889
282,Dūņezers,57.1505556,24.3576944
283,Sunīšu ezers,56.9737222,24.3639444
284,Mazuikas ezers,57.1281944,24.3751667
285,Venču ezers,57.0480278,24.3778611
286,Lieluikas ezers,57.1373333,24.3855833
287,Rīgas ūdenskrātuve,56.8351389,24.3924444
288,Beibežu dīķis,56.5638889,24.4141944
289,Arves ezers,56.5724722,24.4141944
290,Ozolaines dīķis,56.44425,24.4696389
291,Staņķu dzirnavu ezers,56.6539722,24.4925
292,Jaunais ezers,56.6011111,24.5196667
293,Vecais ezers,56.6069722,24.5415
294,Viļķenes muižas dzirnavezers,57.6104444,24.5655833
295,Bārbeles ezers,56.4639167,24.5767222
296,Riebezers,57.4911944,24.5788889
297,Dziļezers,57.4955556,24.5818889
298,Primmas ezers,57.7401389,24.5933889
299,Pabažu ezers,57.2567778,24.5937778
300,Rukšu ezers,56.4226667,24.5966667
301,Auziņu ezers,57.4729722,24.6013889
302,Skujas ezers,57.4635,24.6113333
303,Bruņķītis,57.4508889,24.6212222
304,Turmatu dīķis,57.6891389,24.6304444
305,Cimelis,57.5362778,24.6368889
306,Bīriņu ezers,57.2464722,24.6603611
307,Pāles ūdenskrātuve ,57.7020278,24.6779722
308,Lādes ezers,57.4365,24.6910833
309,Dūņezers,57.5326667,24.7004722
310,Limbažu Lielezers,57.4868333,24.7006944
311,Āsteres ezers,57.6186944,24.7091111
312,Greiļu dīķis,57.6937778,24.7184167
313,Mālkalna dīķis,57.4711944,24.7198611
314,Aijažu ezers,57.3818333,24.7210556
315,Paldažu dīķi,57.4581111,24.7345556
316,Ņegas ezers,56.7014444,24.7584444
317,Jērkules ezers,57.2093333,24.7635556
318,Kodajezers ,57.97425,24.7902222
319,Melnezers,57.38125,24.7936667
320,Katvaru ezers,57.5595556,24.7951389
321,Darbnīcu dīķis,57.5228611,24.7980556
322,Vāveres ezers,56.5528611,24.8014444
323,Salas ezers,57.2722222,24.8128056
324,Aģes ezers,57.2989167,24.8178333
325,Ungurpils dzirnavezers,57.7702778,24.8220833
326,Sārumezers,57.4193333,24.8259167
327,Zvejnieku ezers,57.4936389,24.8525556
328,Ķeguma ūdenskrātuve,56.6728056,24.8863333
329,Taurkalnes Aklezers ,56.5659444,24.8995
330,Mazezers,57.9784167,24.9077778
331,Ruckas ezers,57.4153333,24.9133056
332,Purezers,57.6811111,24.9145
333,Umuru ezers,57.1155556,24.9211667
334,Rāķis,57.6005278,24.9233333
335,Vitkapu ezers,56.6023056,24.9243889
336,Paužezers,57.7075833,24.9245
337,Braslas ūdenskrātuve,57.2911667,24.9282222
338,Ramatas Lielezers,57.9921944,24.9331111
339,Dzirnavu dīķis,56.8958889,24.9345
340,Jūdažu ezers,57.1041389,24.9518056
341,Riebiņu ezers,57.3772778,24.9525833
342,Urgas dzirnavezers,57.7281944,24.95325
343,Plaužu ezers,57.3106111,24.9587222
344,Eiķēnu ezers,57.3801111,24.9625
345,Pekšu ezers,57.3114444,24.9707778
346,Inderdēļu ezers,57.1436944,24.9870556
347,Vīņaudu ezers,57.3520556,24.9994722
348,Zviedru ezers,57.1511944,25.0051389
